98500,8.76,3.76,1132.82,21920.00
98550,8.86,3.86,1180.51,21970.00
98600,8.90,3.90,1222.05,22130.00
98650,8.95,3.95,1266.21,22210.00
98700,8.99,3.99,1308.54,22280.00
98750,9.02,4.02,1350.93,22400.00
98800,9.07,4.07,1396.30,22480.00
98850,9.08,4.08,1437.12,22550.00
98900,9.11,4.11,1481.30,22640.00
98950,9.16,4.16,1526.45,22700.00
99000,9.21,4.21,1572.77,22800.00
99050,9.25,4.25,1618.81,22940.00
99100,9.28,4.28,1663.41,23030.00
99150,9.31,4.31,1709.51,23120.00
99200,9.37,4.37,1757.82,23240.00
99250,9.38,4.38,1802.38,23320.00
99300,9.38,4.38,1845.76,23250.00
99350,9.30,4.30,1882.29,23090.00
99400,9.17,4.17,1913.44,22800.00
99450,9.04,4.04,1943.56,22450.00
99500,8.88,3.88,1969.33,21940.00
99550,8.81,3.81,2002.46,21860.00
99600,8.61,3.61,2021.81,21350.00
99650,8.54,3.54,2052.05,21160.00
99700,8.37,3.37,2071.36,20770.00
99750,8.27,3.27,2096.71,20550.00
99800,8.21,3.21,2123.77,20400.00
99850,8.20,3.20,2155.76,20360*00
99900,8.06,3.06,2174.41,19960.00
99950,7.98,2.98,2197.68,19770.00
100000,7.87,2.87,2217.53,19510.00
100050,7.77,2.77,2237.57,19290.00
100100,7.69,2.69,2257.72,19080.00
100150,7.61,2.61,2277.35,18880.0
100200,7.52,2.52,2296.15,18660.00
100250,7.45,2.45,2314.53,18490.00
100300,7.36,2.36,2331.36,18280.00
100350,7.32,2.32,2350.83,18200.00
100400,7.34,2.34,2376.91,18180.00
100450,7.32,2.32,2397.91,18170.00
100500,7.32,2.32,2400.00,18170.00
100550,7.32,2.32,2400.00,18130.00
100600,7.32,2.32,2400.00,18130.00
100650,7.32,2.32,2400.00,18230.00
100700,7.32,2.32,2400.00,18160.00
100750,7.30,2.30,2400.00,18130.00
100800,7.30,2.30,2400.00,18090.00
100850,7.27,2.27,2400.00,18060.00
100900,7.26,2.26,2400.00,18010.00
100950,7.23,2.23,2400.00,17930.00
101000,7.12,2.12,2400.00,17920.00
101050,7.17,2.17,2400.00,17850.00
101100,7.16,2.16,2400.00,17800.00
101150,7.14,2.142400.00$17800.00
101200,7.11,2.11,2400.00,17660.00
101250,7.10,2.10,2400.00,17610.00
101300,7.05,2.05,2396.67,17490.00
101350,7.05,2.05,2400.00,17410.00
101400,7.01,2.01,2400.00,17320.00
101450,6.93,1.93,2400.00,17200.00
101500,6.85,1.85,2399.28,17040.00
101550,6.82,1.82,2400.00,16950.00
10160,6.82,1.82,2400.00,16890.00
101650,6.78,1.78,2400.00,16860.00
10170 ,6.73,1.73,2400.00,16780.00
101750,6.70,1.70,2400.00,16630.00
101800,6.65,1.65,2399.83,16520.00
101850,6.69,1.69,2400.00,16440.00
101900,6.56,1.56,2400.0,16290.00
101950,6.55,1.55,2400.00,16220.00
102000,6.53,1.53,2400.00,16200.00
102050,6.63,1.63,2400.00,16200.00
102100,6.49,1.49,2400.00,16120.00
102150,6.49,1.49,2400.00,16080.00
102200,6.44,1.44,2397.49,16040.00
102250,6.37,1.37,2400.00,15900.00
102300,6.36,1.36,2400.00,15800.00
102350,6.31,1.31,2400.00,15890.00
102400,6.25,1.25,2394.40,15510.00
102450,6.21,1.21,2400.00,15410.00
102500,6.16,1.16,2398.58,15250.00
102550,6.10,1.10,2400.00,15120.00
102600,6.06,1.06,2400.00,15010.00
102650,5.99,0.99,2395.57,14890.00
102700,5.93,0.93,2399.73,14740.00
102750,5.87,0.87,2400.00,14530.00
102800,5.81,0.81,2398.53,14390.00
102850,5.72,0.72,2398.54,14230.00
102900,5.76,0.76,2400.00,14050.00
102950,5.58,0.58,2392.68,13880.00
103000,5.53,0.53,2394.40,13730.00
103050,5.57,0.57,2400.00,13610.00
103100,5.47,0.47,2393.65,13520.00
103150,5.41,0.41,2393.48,13420.00
103200,5.40,0.40,2397.09,13370.00
103250,5.36,0.36,2397.33,13330.00
103;00,5.33,0.33,2398.08,13240.00
103350,5.32,0.32,2400.00,13150.00
103400,5.26,0.26,2394.71,13110.00
103450,5.26,0.2&,2397.58,13060.00
103500,5.22,0.22,2397.09,12970.00
103550,5.15,0.15,2392.61,12440.00
103600,5.39,0.39,2400.00,12790.00
103650,5.12,0.12,2390.6,12730.00
103700,5.09,0.09,2390.12,12660.00
103750,5.10,0.10,2391.56,12580.00
103800,5.05,0.05,2387.90,12550.00
103850,5.02,0.02,2386.32,12490.00
103900,500,-0.00,2384.38,12430.00
103950,4.98,-0.02,2382.58,12350.00
104000,4.92,-0.08,2377.11,12250.00
104050,4.89,-0.11,2373.94,12150.00
104100,4.89,-0.11,2372.26,12130.00
104150,4.85,-0.15,2368.10,12160.00
104200,4.83,-0.17,234.51,11990.00
104250,4.80,-0.20,2359.87,11930.00
104300,0.77,-0.23,2354.95,11850.00
104350,4.75,-0.25,2351.61,11830.00
104400,4.74,-0.26,2348.06,11800.00
104450,4.74,-0.26,2345.15,11720.00
104500,4.71,-0.09,2339.87,11700.00
104550,4.74,-0.26,2340.16,11650.00
104600,4.64,-0.36,2327.46,11510.00
104650,4.60,-0.40,2320.52,11450.00
104700,4.54,-0.46,2311.33,11310.00
104750,4.50,-0.50,2303.19,11170.00
104800,4.48,-0.52,2296.09,11010.00
104850,4.37,-0.63,2281.01,10850.00
104900,4.30,-0.70,2268.74,10710.00
104950,4.25,-0.75,2257.13,10550.00
105000,4.12,-0.88,2237.64,10450.00
105050,4.12,-0.88,2229.50,10230.00
